Year,Under 18,18 to 64,65 and older
1975,17.10%,9.20%,15.30%
1976,16.00%,9.00%,15.00%
1977,16.20%,8.80%,14.10%
1978,15.90%,8.70%,14.00%
1979,16.40%,8.90%,15.20%
1980,18.30%,10.10%,15.70%
1981,20.00%,11.10%,15.30%
1982,21.90%,12.00%,14.60%
1983,22.30%,12.40%,13.80%
1984,21.50%,11.70%,12.40%
1985,20.70%,11.30%,12.60%
1986,20.50%,10.80%,12.40%
1987,20.30%,10.60%,12.50%
1988,19.50%,10.50%,12.00%
1989,19.60%,10.20%,11.40%
1990,20.60%,10.70%,12.20%
1991,21.80%,11.40%,12.40%
1992,22.30%,11.90%,12.90%
1993,22.70%,12.40%,12.20%
1994,21.80%,11.90%,11.70%
1995,20.80%,11.40%,10.50%
1996,20.50%,11.40%,10.80%
1997,19.90%,10.90%,10.50%
1998,18.90%,10.50%,10.50%
1999,17.10%,10.10%,9.70%
2000,16.20%,9.60%,9.90%
2001,16.30%,10.10%,10.10%
2002,16.70%,10.60%,10.40%
2003,17.60%,10.80%,10.20%
2004,17.80%,11.30%,9.80%
2005,17.60%,11.10%,10.10%
2006,17.40%,10.80%,9.40%
2007,18.00%,10.90%,9.70%
2008,19.00%,11.70%,9.70%
2009,20.70%,12.90%,8.90%
2010,22.00%,13.80%,8.90%
2011,21.90%,13.70%,8.70%
2012,21.80%,13.70%,9.10%
2013,21.50%,13.30%,10.20%
2014,21.10%,13.50%,10.00%
2015,19.70%,12.40%,8.80%
2016,18.00%,11.60%,9.30%
2017,17.50%,11.20%,9.20%
2018,16.20%,10.70%,9.70%
2019,14.40%,9.40%,8.90%
2020,16.10%,10.40%,9.00%